dataset,operation,grid_dim,repeats,min_ms,median_ms,mean_ms,max_ms,atoms,aos,states,file_kb
H2O,HDF5 parse,64,9,1.165733,1.309011,1.298994,1.379971,3,24,1,64.094
H2O,Basis extraction,64,9,1.201053,1.219811,1.233837,1.349518,3,24,1,64.094
H2O,MO volume,64,9,3.248158,3.897709,4.252061,5.913481,3,24,1,64.094
H2O,Transition density,64,9,1.334662,1.618400,1.736820,2.202489,3,24,1,64.094
Molecule,HDF5 parse,64,9,2.890941,3.240529,3.204464,3.404436,26,229,1,3434.219
Molecule,Basis extraction,64,9,2.865917,2.991931,3.039552,3.220567,26,229,1,3434.219
Molecule,MO volume,64,9,31.635995,31.719644,31.746478,31.938849,26,229,1,3434.219
Molecule,Transition density,64,9,30.163262,30.250696,30.259224,30.379843,26,229,1,3434.219
TQ SCF,HDF5 parse,64,9,3.380283,3.740921,3.723095,4.064112,23,254,0,3552.234
TQ SCF,Basis extraction,64,9,3.230340,3.377831,3.356821,3.463828,23,254,0,3552.234
TQ SCF,MO volume,64,9,33.225962,35.892323,34.981726,36.628026,23,254,0,3552.234
Acrolein RSP,HDF5 parse,64,9,2.262591,2.377557,2.444273,3.232537,8,76,5,662.836
Acrolein RSP,Basis extraction,64,9,2.144071,2.200210,2.203550,2.298401,8,76,5,662.836
Acrolein RSP,MO volume,64,9,20.740120,20.872016,20.876311,21.010283,8,76,5,662.836
Acrolein RSP,Transition density,64,9,2.772415,2.886265,2.899179,3.125526,8,76,5,662.836
